Test case ID,Title,Steps,Test Data,Expected Outcome,,,,,,,,,,,,,,,,,,,,,
Test Cases of ForgotPassword by Phone,,,,,,,,,,,,,,,,,,,,,,,,,
TC_1,Verify that user is able to perform forgot password journey with valid registered phone number,"1. Create user by account api with sample payload using loginradius-sdk 
2. Navigate to Site URL
3. Navigate to Forgot Password Page
4. Enter registered Phone number which used in sample payload
5. Click on Send button 
6. Check that notification message displaying for further instruction send to provided phone number",,User should able to perform forgot password journey,,,,,,,,,,,,,,,,,,,,,
TC_2,Verify that user is not able to perform forgot password journey with not registered phone number,"1. Navigate to Site URL
2. Navigate to Forgot Password Page
3. Enter not registered Phone number
4. Click on Send button 
",,User should get error message for not registered phone number,,,,,,,,,,,,,,,,,,,,,
TC_3,Verify that user is not able to perform forgot password journey with empty phone number,"1. Navigate to Site URL
2. Navigate to Forgot Password Page
3. Click on Send button 
",,User should get error message for empty phone number,,,,,,,,,,,,,,,,,,,,,
